class,N2,ung.1,cep.1,xpa.1,fcd.2,lig.4,helq.1,mrt.2,csb.1,xpc.1,xpf.1,polq.1,ced.4,fan.1,mus.81,slx.1,him.6,mlh.1,rip.1,pole.4,brc.1,dog.1,rcq.5,polh.1,polk.1,parp.1,exo.3,tdp.1,parp.2,rev.1,wrn.1,apn.1,brd.1,agt.2,agt.1,rfs.1,fnci.1,ndx.4,smc.6,fncm.1,ced.3,cku.80,dna.2,rev.3,smg.1,rad.54B..gt3312.,exo.1,lem.3,rad.54B..gt3308.,rad.51,bub.3..gt2000.,bub.3..ok3437.,san.1,rif.1
D.1.rep,0.0742283155916889,0.0443850910416519,0.0434108113286944,0.0994738814543587,0.0313485867977134,0.0280780998363567,0.0467009580971789,0.0456140947882634,0.053282414625612,0.0405900780461828,0.0560531798649043,0.0483709279978517,0.022464073284409,0.0429891625644909,0.0522408672440325,0.0250629909099703,0.0590852747449985,46.8680591252043,0.098569501636079,0.0410259015060435,0.05897540132165,0.0389501121043943,0.0409593738701856,0.047922987426481,0.0943230576126249,0.06052381435956,0.0502632279347796,0.0391147108932328,0.0605239853212941,0.0608559087607189,0.0426865503305186,0.0414590534632681,0.0500519053208534,0.0812996177872319,0.0965537511590897,0.0499780099368738,0.0299495784811541,0.0482369180081637,0.0108050982097818,0.0651672243515341,0.0311838813010456,0.050178370814823,0.0841076373406392,0.0330450611386312,0.0321477254368624,0.0590620030480768,0.124470466094008,0.0404415489543825,0.0435353256859393,0.103238677189329,0.10903893476542,0.0268967449161003,0.0230612712080833,0.085052835430875
D.1.nonrep,0.00835662490196194,0.00544575809816328,0.0146772229908995,0.000713402109005511,0.0160594783742406,0.00514144168513007,0.00370205278752939,0.00936957368001681,0.0092270561449865,0.00831719902173653,0.00638157968295653,0.00100384995987197,0.00127735460103276,0.00597535061673829,0.00407253734855628,0.00196831407797424,0.00414428955695168,1.31662137350712,0.0148087843577078,0.00749880034203715,0.016650806623767,0.0105955361153876,0.0219834830928981,0.000673239992019053,0.0159840171900055,0.00168520502806945,0.00719991718822502,0.0127306198701058,0.00233776328895229,0.00926800820649487,0.00434525810411145,0.0141668890910789,0.019678365968327,0.0249675954209649,0.00560768730396575,0.0336080703953156,0.000864712565932009,0.00277365409186061,0.00904942378887853,0.00127656866930615,0.00988487207629125,0.00252906430239225,0.00192117414867824,0.00391756224212119,0.00128857935924,0.00132099272824087,0.0106088003595458,0.0123397507687651,0.0168727227993144,0.00430024044113137,0.00256512592246972,0.0212678848698972,0.00946987500416323,0.0354971825088347
D.2.5.rep,0.00972121913257612,0.0107055534159201,0.00703908454146112,0.00453579555660732,0.00168643318434928,0.000994682996620534,0.0378382626470239,0.023459019359318,0.00525370644288813,0.0110990161990343,0.0100808012578367,0.00898965077930241,0.00524721813110046,0.00499744629221667,0.000678540562081209,0.00872461161421368,0.0159514068078021,5.00437384741164,0.0133295704695016,0.0158193584503879,0.0101066921599429,0.0124962676936461,0.0122606146473123,0.00602471092433351,0.0219637381113509,0.00943053726936281,0.013464312398149,0.00438591499906511,0.0154392332416459,0.012698077339843,0.00651698004966491,0.0185447670086807,0.00419349454760859,0.0127984315113236,0.00865503182560598,0.0161539715118235,0.011019694379047,0.000231011464178655,0.0307620870381872,0.00939784266712793,0.0129496295256641,0.001853660620253,0.0173317509084898,0.0033845311991237,0.00060354658908911,0.00523253173675436,0.0105779935789282,0.00950899412815409,0.00465814248172313,0.0106134321166332,0.0108828402364043,0.000779881753046441,0.00844914007151919,0.00151210926523742
D.2.5.nonrep,0.0114840567735854,0.0255882054389478,0.0155635030667842,0.00466959714584334,0.00483652497444662,0.0113585443292593,0.0380123276132194,0.0645350266474276,0.00636978367245569,0.0201024727078492,0.0297931295447829,0.00120016600496941,0.000281336829108281,0.015255117909363,0.00861195654667697,0.000717869744954815,0.0261109967862206,0.487793509989792,0.0598111988910198,0.00934051117684991,0.0378299995299458,0.0223152423910309,0.0204441879211913,0.00923227010526048,0.0233833642468395,0.00505521747616357,0.00311640235755565,0.0018072637970858,0.0194959441157553,0.0151212612889136,0.0490865490346994,0.00306913886225531,0.0267340448277355,0.0309890623882166,0.00599497019518696,0.0800220499973291,0.000512061728736206,0.0174539185623759,0.0127071177852681,0.0403948749130139,0.0107791555779259,0.00764562206385396,0.036288827643758,0.0140650477622562,0.0289916228951378,0.0138733366316033,0.00832562791020214,0.000466422915636915,0.018501010120146,0.00696934387143487,0.0243704428204527,0.031208419607884,0.0036008521998809,0.0738378618406086
D.5.50,0.0223370374365605,0.0445153967894538,0.0507774692853203,0.0573181215810273,0.00954194491161983,0.0229485094137685,0.0276580383142082,0.149903083573846,0.0362309395066542,0.0314652581466231,0.0279628893135727,0.00949525933383753,0.0119515480041205,0.0684496142959569,0.000318577107437732,0.0294099371025343,0.0634960430106623,0.268379536109369,0.128589958820153,0.0188381345766927,0.107848325774462,0.108450245316974,0.0252381697227432,0.034627543683727,0.0561117037924052,0.0215636180131384,0.0362068628318874,0.00221859885737607,0.0422361598747204,0.0143373813283202,0.0684134318885077,0.0139194526869551,0.051410777940643,0.0190765609221075,0.0155757665578992,0.131983842117546,0.0206908870377355,0.0147113517580942,0.0752433401867309,0.0181225999131464,0.0236080339640244,0.0092148321044517,0.00139496832723073,0.038440349416015,0.026166511829253,0.0145628566719022,0.0288971272628282,0.0395476993403755,0.018323035655503,0.0238290308433782,0.0634610420993097,0.0328932068310359,0.00466423681547862,0.0313226182738651
D.50.400,0.013569561323287,0.00591156746615854,0.00765582427353986,0.0430503354159352,0.0179005378520999,0.0112900781008958,0.0383429743529641,0.100645464052516,0.00736521221058373,0.00938983227890043,0.0110170395813155,0.000325245840433846,0.00320437458615983,0.00544022488971589,0.0304545513353376,0.00339953426126223,0.0468894663143459,0.0310062619678303,0.00485022991278201,0.00242353315498002,0.0384191644382432,0.719806950316149,0.0178963658151601,0.570223239112596,0.0312105752813294,0.0147283949190114,0.00245866700193051,0.00155166381527104,0.00239842716087675,0.0185238030058146,0.0168972135498486,0.00695642489490484,0.0164432048845764,0.0514690798582188,0.0165528540160832,0.0609797828871408,0.00672986325182289,0.0267676317630053,0.061434485724239,0.0251844615700466,0.00822468744782269,0.0154751357888959,0.00168871299160461,0.343775021856324,0.00249852050401208,0.0104970721286058,0.0239243077447224,0.000541080153821398,0.0283612639908114,0.0198805235303518,0.0113318985520719,0.000531570151769315,0.00668292214697722,0.00124097965571483
DI.small,0.00530778507636415,0.00108654619360411,0.00519031356677306,0.00702922777787743,0.000395316163473843,0.000470104867147499,0.00425426616546377,0.00569022484016851,0.00074588382727924,0.00626974891944241,0.00333973512860241,0.00055677820206134,0.00256153590505743,0.00593210060059683,0.000765017603950352,0.0054992526796618,0.0101020937669868,0.121852685973455,0.0138599943231137,0.0110166128881456,0.0423082831175563,0.0190743866550054,0.000399128912610572,0.0152590857098695,0.00537105893239647,0.000981523787618557,0.0066078025070842,0.00578239620790973,0.00101569740552988,0.00322623533501066,0.000496133478158377,0.00030046591270273,0.00142241857995633,0.000389190805226863,0.00671974294466292,0.00347180813346014,0.000241399664953873,0.000736376207795019,0.00612417716910774,0.00744256253336372,0.000890721446590404,0.00131648778616472,0.000680471545837308,0.00130237169014728,0.00123873157513387,0.000630833226205706,0.0112055229883302,0.00147635798733244,0.00160187722221937,0.00549300090063465,0.000562927945320579,0.00774770831382516,0.0082800269573476,0.00166728674809588
DI.large,0.000644404861656726,0.000733609554808136,0.00796585889301937,0.0120383637841754,0.00515791328157632,0.000731357636786954,0.000797848393918605,0.00803394878224207,0.0038817118409973,0.00313986920757547,0.00355244981950685,0.000413494107314386,0.000468298075445626,0.00161483854361754,0.000470106039734846,0.000290560409659796,0.00845726123588874,0.0013942191044514,0.0131313134497775,0.000542631652963843,0.00944617670927303,0.298034573709269,0.000702081295295383,0.192638099229923,0.000297866021480759,0.0047919700658555,0.000709825642056077,0.000554181011438507,0.00218529600514349,0.000829139304319428,0.00540062195707128,0.00349158774478335,0.00313401996142606,0.00931630985667198,0.000409999078216744,0.0248593083914243,0.000926356540914449,0.000789888474135579,0.007239701051991,0.000527235342365144,0.00101577703377066,0.00422028805957388,0.00297745858759357,0.119036175976685,0.000480016950955434,0.000874726244222976,0.000447909473469176,0.000257909137776283,0.00111178064136273,0.000358152021287148,0.000839344241275775,0.00123113348592972,0.00466039980291895,0.0013238374880962
I.1.rep,0.0531331617699639,0.0358919181669036,0.0549668452428915,0.0463317449678974,0.0288632762446974,0.0477281724257828,0.0549050916707606,0.0740062520962242,0.0515677333655749,0.0583768673950999,0.0418242293292089,0.0500705418402145,0.0456679603450431,0.0301922173763264,0.0679545155341178,0.0481573391773174,0.0656029350522069,28.5739150762637,0.0516403784355509,0.0326896547618204,0.0718521880546419,0.073870281385333,0.0334522277267794,0.0572374995187284,0.107332272894062,0.0274638128684095,0.0591883600813565,0.0617689003650718,0.0358372931291817,0.0695957335681316,0.0352688029414332,0.0367765723344324,0.0180909967541862,0.0920774577966633,0.0463439811269909,0.0366083726119657,0.0485445905337786,0.0088626253756634,0.0431664764806887,0.0408967274015236,0.0527609074418202,0.00692152178294153,0.0571134338954127,0.0684196446556556,0.0500153947402994,0.0713220116519688,0.265652448914315,0.0539820092954058,0.0585600921132013,0.0553439167110542,0.0413418189669351,0.0648379767717775,0.133711420383947,0.124022288503457
I.1.nonrep,0.000108629152555742,0.000712682705123412,0.00093225457503544,0.00164662890896576,0.00496801562225896,0.00072388279159451,0.000417972906267263,0.00137266515789433,0.000769910758266464,0.00109912051225767,0.000137332513421655,0.00148884637148924,0.000875532666334011,0.000356126093899735,0.00800225164627077,0.00622045761316853,0.00184989313847356,0.0847121356014165,0.00104354393833497,0.000860134440809881,0.00234173053681875,0.000812666164533327,0.00643429179016778,0.00263309111237296,0.000337968131886157,0.000722395468850919,0.0165252984770821,0.00116506227144753,0.000478181631708848,0.000260009209116225,0.000693689476384693,0.000291187852752336,0.000231090598953711,0.00801002740763053,0.000317600533665669,0.000796954952144217,0.000604652032588984,0.00907231895448284,0.0228812978633177,0.00899546624848817,0.000565889545816766,0.00268162489542122,0.00389837945475122,0.000488895650760006,0.000529906027425437,0.00163281257174689,0.00144230018565916,0.0092290652991366,0.0149461144106749,0.00058562713688011,0.00187651582332873,0.000244512667709026,0.00548230831618611,0.00188701010515366
