sample,genotype
CD0001a,wild.type
CD0001c,wild.type
CD0002a,wild.type
CD0002c,wild.type
CD0002d,wild.type
CD0003a,wild.type
CD0003b,wild.type
CD0003c,wild.type
CD0003d,wild.type
CD0004a,wild.type
CD0004b,wild.type
CD0004c,wild.type
CD0004d,wild.type
CD0005a,wild.type
CD0005b,wild.type
CD0005c,wild.type
CD0005d,wild.type
CD0006a,wild.type
CD0006c,wild.type
CD0006d,wild.type
CD0007a,wild.type
CD0007c,wild.type
CD0007d,wild.type
CD0009c,wild.type
CD0009e,wild.type
CD0009f,wild.type
CD0009g,wild.type
CD0009h,wild.type
CD0011c,wild.type
CD0011d,wild.type
CD0013d,wild.type
CD0014c,wild.type
CD0014d,wild.type
CD0016a,wild.type
CD0016c,wild.type
CD0017a,wild.type
CD0017c,wild.type
CD0017d,wild.type
CD0018d,wild.type
CD0019c,wild.type
CD0019d,wild.type
CD0020a,wild.type
CD0020c,wild.type
CD0020d,wild.type
CD0021d,wild.type
CD0022a,wild.type
CD0023a,wild.type
CD0023c,wild.type
CD0023d,wild.type
CD0024a,wild.type
CD0024d,wild.type
CD0025a,wild.type
CD0025c,wild.type
CD0025d,wild.type
CD0026a,wild.type
CD0026d,wild.type
CD0027a,wild.type
CD0029c,wild.type
CD0030a,wild.type
CD0030c,wild.type
CD0031a,wild.type
CD0031c,wild.type
CD0031d,wild.type
CD0032a,wild.type
CD0032d,wild.type
CD0033c,wild.type
CD0034c,wild.type
CD0034d,wild.type
CD0035a,wild.type
CD0035c,wild.type
CD0035d,wild.type
CD0036a,wild.type
CD0036c,wild.type
CD0036d,wild.type
CD0037a,wild.type
CD0037c,wild.type
CD0037d,wild.type
CD0039c,wild.type
CD0040c,wild.type
CD0040d,wild.type
CD0042d,wild.type
CD0043c,wild.type
CD0043d,wild.type
CD0044c,wild.type
CD0046c,wild.type
CD0047c,wild.type
CD0047d,wild.type
CD0048a,wild.type
CD0048c,wild.type
CD0048d,wild.type
CD0049c,wild.type
CD0049d,wild.type
CD0051a,wild.type
CD0051d,wild.type
CD0052a,wild.type
CD0053a,wild.type
CD0053c,wild.type
CD0054c,wild.type
CD0055a,wild.type
CD0055c,wild.type
CD0055d,wild.type
CD0056a,wild.type
CD0056c,wild.type
CD0056d,wild.type
CD0057a,wild.type
CD0057c,wild.type
CD0057d,wild.type
CD0058a,wild.type
CD0058c,wild.type
CD0058d,wild.type
CD0060a,wild.type
CD0060c,wild.type
CD0060d,wild.type
CD0061c,wild.type
CD0062c,wild.type
CD0062d,wild.type
CD0063a,wild.type
CD0063c,wild.type
CD0063d,wild.type
CD0064a,wild.type
CD0064c,wild.type
CD0064d,wild.type
CD0091a,wild.type
CD0091b,wild.type
CD0091c,wild.type
CD0091d,wild.type
CD0091e,wild.type
CD0091f,wild.type
CD0091g,wild.type
CD0091h,wild.type
CD0091i,wild.type
CD0091j,wild.type
CD0091k,wild.type
CD0091l,wild.type
CD0091m,wild.type
CD0094a,wild.type
CD0094c,wild.type
CD0095a,wild.type
CD0096a,wild.type
CD0096c,wild.type
CD0096d,wild.type
CD0097a,wild.type
CD0097c,wild.type
CD0097d,wild.type
CD0099a,wild.type
CD0099b,wild.type
CD0099c,wild.type
CD0099d,wild.type
CD0100a,wild.type
CD0100c,wild.type
CD0100d,wild.type
CD0101a,wild.type
CD0101b,wild.type
CD0101c,wild.type
CD0101d,wild.type
CD0102a,wild.type
CD0102b,wild.type
CD0102c,wild.type
CD0102d,wild.type
CD0103a,wild.type
CD0103b,wild.type
CD0103c,wild.type
CD0103d,wild.type
CD0104a,wild.type
CD0104b,wild.type
CD0104c,wild.type
CD0104d,wild.type
CD0106a,wild.type
CD0106c,wild.type
CD0106d,wild.type
CD0107a,wild.type
CD0107c,wild.type
CD0107d,wild.type
CD0108a,wild.type
CD0108c,wild.type
CD0110a,wild.type
CD0110c,wild.type
CD0110d,wild.type
CD0111a,wild.type
CD0111c,wild.type
CD0111d,wild.type
CD0112c,wild.type
CD0112d,wild.type
CD0114a,wild.type
CD0114d,wild.type
CD0115a,wild.type
CD0115c,wild.type
CD0115d,wild.type
CD0117a,wild.type
CD0117c,wild.type
CD0117d,wild.type
CD0118a,wild.type
CD0118c,wild.type
CD0118d,wild.type
CD0119a,wild.type
CD0119c,wild.type
CD0119d,wild.type
CD0121a,wild.type
CD0121b,wild.type
CD0121c,wild.type
CD0121d,wild.type
CD0122a,wild.type
CD0122c,wild.type
CD0122d,wild.type
CD0123a,wild.type
CD0123c,wild.type
CD0123d,wild.type
CD0125a,wild.type
CD0125c,wild.type
CD0125d,wild.type
CD0125e,wild.type
CD0130a,wild.type
CD0130c,wild.type
CD0130d,wild.type
CD0131a,wild.type
CD0131c,wild.type
CD0132a,wild.type
CD0132c,wild.type
CD0132d,wild.type
CD0133a,wild.type
CD0133c,wild.type
CD0133d,wild.type
CD0134a,wild.type
CD0134c,wild.type
CD0134d,wild.type
CD0138c,wild.type
CD0138d,wild.type
CD0139a,wild.type
CD0139c,wild.type
CD0139d,wild.type
CD0140a,wild.type
CD0140b,wild.type
CD0140c,wild.type
CD0140d,wild.type
CD0141a,wild.type
CD0141b,wild.type
CD0141c,wild.type
CD0141d,wild.type
CD0142a,wild.type
CD0142b,wild.type
CD0142c,wild.type
CD0144a,wild.type
CD0144c,wild.type
CD0144d,wild.type
CD0145c,wild.type
CD0146a,wild.type
CD0146c,wild.type
CD0146d,wild.type
