Category,N2,mlh-1,msh-2,msh-6,pms-2,polh-1,polk-1,rev-3,xpa-1,xpc-1
D.1.rep,4.0,3.0,2.0,5.0,4.0,1.0,4.0,3.0,6.0,5.0
D.1.nonrep,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
D.2.5.rep,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
D.2.5.nonrep,0.0,4.0,3.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0
D.5.50,1.0,7.0,4.0,10.0,8.0,3.0,3.0,7.0,42.0,7.0
D.50.400,0,0,0,0,0,0,0,0,0,0
DI.small,0,0,0,0,0,0,0,0,0,0
DI.large,0,0,0,0,0,0,0,0,0,0
I.1.rep,1.0,5.0,5.0,3.0,2.0,1.0,5.0,2.0,1.0,2.0
I.1.nonrep,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
I.2.5.rep,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
I.2.5.nonrep,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
I.5.50,1.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0
I.50.400,0,0,0,0,0,0,0,0,0,0
